Exchange Date,Close
21-Dec-05,10.81
22-Dec-05,10.29
23-Dec-05,10.27
27-Dec-05,11.57
28-Dec-05,11.35
29-Dec-05,11.61
30-Dec-05,12.07
03-Jan-06,11.14
04-Jan-06,11.37
05-Jan-06,11.31
06-Jan-06,11
09-Jan-06,11.13
10-Jan-06,10.86
11-Jan-06,10.94
12-Jan-06,11.2
13-Jan-06,11.23
17-Jan-06,11.91
18-Jan-06,12.25
19-Jan-06,11.98
20-Jan-06,14.56
23-Jan-06,13.93
24-Jan-06,13.31
25-Jan-06,12.87
26-Jan-06,12.42
27-Jan-06,11.97
30-Jan-06,12.39
31-Jan-06,12.95
01-Feb-06,12.36
02-Feb-06,13.23
03-Feb-06,12.96
06-Feb-06,13.04
07-Feb-06,13.59
08-Feb-06,12.83
09-Feb-06,13.12
10-Feb-06,12.87
13-Feb-06,13.35
14-Feb-06,12.25
15-Feb-06,12.31
16-Feb-06,11.48
17-Feb-06,12.01
21-Feb-06,12.41
22-Feb-06,11.88
23-Feb-06,11.87
24-Feb-06,11.46
27-Feb-06,11.59
28-Feb-06,12.34
01-Mar-06,11.54
02-Mar-06,11.72
03-Mar-06,11.96
06-Mar-06,12.74
07-Mar-06,12.66
08-Mar-06,12.32
09-Mar-06,12.68
10-Mar-06,11.85
13-Mar-06,11.37
14-Mar-06,10.74
15-Mar-06,11.35
16-Mar-06,11.98
17-Mar-06,12.12
20-Mar-06,11.79
21-Mar-06,11.62
22-Mar-06,11.21
23-Mar-06,11.17
24-Mar-06,11.19
27-Mar-06,11.46
28-Mar-06,11.58
29-Mar-06,10.95
30-Mar-06,11.57
31-Mar-06,11.39
03-Apr-06,11.57
04-Apr-06,11.14
05-Apr-06,11.13
06-Apr-06,11.45
07-Apr-06,12.26
10-Apr-06,12.19
11-Apr-06,13
12-Apr-06,12.76
13-Apr-06,12.38
17-Apr-06,12.58
18-Apr-06,11.4
19-Apr-06,11.32
20-Apr-06,11.64
21-Apr-06,11.59
24-Apr-06,11.75
25-Apr-06,11.75
26-Apr-06,11.76
27-Apr-06,11.84
28-Apr-06,11.59
01-May-06,12.54
02-May-06,11.99
03-May-06,11.99
04-May-06,11.86
05-May-06,11.62
08-May-06,12
09-May-06,11.99
10-May-06,11.78
11-May-06,12.49
12-May-06,14.19
15-May-06,13.57
16-May-06,13.35
17-May-06,16.26
18-May-06,16.99
19-May-06,17.18
22-May-06,17.72
23-May-06,18.26
24-May-06,17.36
25-May-06,15.5
26-May-06,14.26
30-May-06,18.66
31-May-06,16.44
01-Jun-06,14.52
02-Jun-06,14.32
05-Jun-06,16.65
06-Jun-06,17.34
07-Jun-06,17.8
08-Jun-06,18.35
09-Jun-06,18.12
12-Jun-06,20.96
13-Jun-06,23.81
14-Jun-06,21.46
15-Jun-06,15.9
16-Jun-06,17.25
19-Jun-06,17.83
20-Jun-06,16.69
21-Jun-06,15.52
22-Jun-06,15.88
23-Jun-06,15.89
26-Jun-06,15.62
27-Jun-06,16.4
28-Jun-06,15.79
29-Jun-06,13.03
30-Jun-06,13.08
03-Jul-06,13.05
05-Jul-06,14.15
06-Jul-06,13.65
07-Jul-06,13.97
10-Jul-06,14.02
11-Jul-06,13.14
12-Jul-06,14.49
13-Jul-06,17.79
14-Jul-06,18.05
17-Jul-06,18.64
18-Jul-06,17.74
19-Jul-06,15.55
20-Jul-06,16.21
21-Jul-06,17.4
24-Jul-06,14.98
25-Jul-06,14.85
26-Jul-06,14.62
27-Jul-06,14.94
28-Jul-06,14.33
31-Jul-06,14.95
01-Aug-06,15.05
02-Aug-06,14.34
03-Aug-06,14.46
04-Aug-06,14.34
07-Aug-06,15.23
08-Aug-06,15.23
09-Aug-06,15.2
10-Aug-06,14.46
11-Aug-06,14.3
14-Aug-06,14.26
15-Aug-06,13.42
16-Aug-06,12.41
17-Aug-06,12.24
18-Aug-06,11.64
21-Aug-06,12.22
22-Aug-06,12.19
